"productid","actualprice","productdescription","producttitle"
"799","1280","<p><strong>it's shoot of 4 pillow bed sheet. but available just in matching 2 pillow covers.</strong></p>
<p><strong>A Lap to Soothe Mind,Body And Soul</strong></p>
<p><strong><img src=""https://www.swayamindia.com/img/cms/Info%20Icons/rich-traditional-design.png"" alt="""" width=""24"" height=""25""><span> </span>Modern Designs-<span> </span></strong>Modern Home Decoration.</p>
<p><strong><img src=""https://www.swayamindia.com/img/cms/Info%20Icons/thread-count.png"" alt="""" width=""24"" height=""25""><span> </span>Affordable Luxury-<span> </span></strong>Party Makeover.</p>
<p><strong><img src=""https://swayamindia.com/img/cms/Info%20Icons/multicolor.jpg"" width=""25"" height=""25"">Rotary Pigment Printing -<span> </span></strong>Vibrant Multi-Color.</p>
<p><strong><img src=""https://www.swayamindia.com/img/cms/Info%20Icons/100-color-fast.png"" alt="""" width=""24"" height=""25""><span> </span>Colorfast-<span> </span></strong>Newer for Longer.</p>
<table width=""495"">
<tbody>
<tr>
<td></td>
<td></td>
</tr>
<tr>
<td>
<p>Concept</p>
</td>
<td>
<p>3 PCs Stitched</p>
</td>
</tr>
<tr>
<td>
<p>Product Category</p>
</td>
<td>
<p>Home</p>
</td>
</tr>
<tr>
<td>
<p>Fabric Composition </p>
</td>
<td>
<p>100% Cotton </p>
</td>
</tr>
<tr>
<td>
<p>Color Guarantee</p>
</td>
<td>
<p>100% Original Colors Up To 30 Washes  </p>
</td>
</tr>
<tr>
<td>
<p>Package Include</p>
</td>
<td>
<p>2 Pillow Case + 1 King Bed Sheet </p>
</td>
</tr>
<tr>
<td>
<p>Size</p>
</td>
<td>
<p><b>Bed Sheet</b><strong>: </strong><span>95 in x 100 Inches, </span></p>
<p><strong>Pillow Cover: </strong><span>19 in x 29 Inches</span></p>
</td>
</tr>
</tbody>
</table>","2 Pillow King Bed Sheet - Turk Empire"
"800","1475","<p class=""heading_uppercase""><strong>PRODUCT DETAILS  </strong></p>
<ul>
<li>1 Bed sheet</li>
<li>1 Pillow cover</li>
<li>1 Cushion Cover</li>
</ul>
<p class=""heading_lowercase""><strong>Fit &amp; Sizing</strong></p>
<ul>
<li>Single Sheet Dimension: 63"" X 95""</li>
<li>Pillow Cover Dimension: 19"" x 29""</li>
<li>Cushion Cover 16 X 16 Inches</li>
</ul>
<p class=""heading_lowercase""><strong>Material &amp; Care</strong></p>
<ul>
<li>HQ Cotton </li>
<li>Dry Clean</li>
<li>Hand wash</li>
</ul>","3 PCs Cartoon Character Bed Sheet - Minnie Fashion"
"801","1475","<p class=""heading_uppercase""><strong>PRODUCT DETAILS  </strong></p>
<ul>
<li>1 Bed sheet</li>
<li>1 Pillow cover</li>
<li>1 Cushion Cover</li>
</ul>
<p class=""heading_lowercase""><strong>Fit &amp; Sizing</strong></p>
<ul>
<li>Single Sheet Dimension: 63"" X 95""</li>
<li>Pillow Cover Dimension: 19"" x 29""</li>
<li>Cushion Cover 16 X 16 Inches</li>
</ul>
<p class=""heading_lowercase""><strong>Material &amp; Care</strong></p>
<ul>
<li>HQ Cotton </li>
<li>Dry Clean</li>
<li>Hand wash</li>
</ul>","3 PCs Cartoon Character Bed Sheet - Princes"
"802","450","<ul>
<li>Helps protect baby's sensitive skin from rashes </li>
<li>Easy-wipe waterproof fabric</li>
<li>Stain and order resistant</li>
<li>Adjustable ties closure</li>
<li>Feature catch-all pocket</li>
</ul>
<p><strong>Dimensions:</strong><span> W-7.5 x L-8.5 Inches</span></p>
<p><strong>Material:<span> </span></strong>100% Cotton (Terry)</p>","3 PCs Water Proof Baby Bibs - Blue"
"803","450","<ul>
<li>Helps protect baby's sensitive skin from rashes </li>
<li>Easy-wipe waterproof fabric</li>
<li>Stain and order resistant</li>
<li>Adjustable ties closure</li>
<li>Feature catch-all pocket</li>
</ul>
<p><strong>Dimensions:</strong><span> W-7.5 x L-8.5 Inches</span></p>
<p><strong>Material:<span> </span></strong>100% Cotton (Terry)</p>","3 PCs Water Proof Baby Bibs - Pink"
"804","2890","<div>
<div>
<p><strong>Product Detail:</strong></p>
<section class=""sample"" id=""content1"">
<p>Kids - 3 PCs Filled Comforter Set</p>
<p><strong>Package Details: </strong></p>
<ul>
<li>1 Filled Comforter 60 x 95 INCH</li>
<li>
<span>1 </span><span>Printed Bed Sheet </span><span>60 x 95 INCH</span>
</li>
<li>1 Standard Pillow 19 x 29 INCH</li>
</ul>
<p><strong>Thread Count:</strong><span> </span>T-180 t0 210</p>
<p><strong>Comforter Weight:<span> 150</span></strong> GSM With 100% Polyester Wadding</p>
</section>
</div>
<ul></ul>
</div>
<ul></ul>","3 Pieces Single Cartoon Reversible Bed Spread Set - Donkey King"
"805","2890","<div>
<div>
<p><strong>Product Detail:</strong></p>
<section class=""sample"" id=""content1"">
<p>Kids - 3 PCs Filled Comforter Set</p>
<p><strong>Package Details: </strong></p>
<ul>
<li>1 Filled Comforter 60 x 95 INCH</li>
<li>
<span>1 </span><span>Printed Bed Sheet </span><span>60 x 95 INCH</span>
</li>
<li>1 Standard Pillow 19 x 29 INCH</li>
</ul>
<p><strong>Thread Count:</strong><span> </span>T-180 t0 210</p>
<p><strong>Comforter Weight:<span> 150</span></strong> GSM With 100% Polyester Wadding</p>
</section>
</div>
<ul></ul>
</div>
<ul></ul>","3 Pieces Single Cartoon Reversible Bed Spread Set - Space"
"806","3690","<div>
<div>
<p><strong>Product Detail:</strong></p>
<section class=""sample"" id=""content1"">
<p>Kids - 3 PCs Filled Comforter Set</p>
<p><strong>Package Details: </strong></p>
<ul>
<li>1 Filled Comforter 60 x 95 INCH</li>
<li>
<span>1 </span><span>Printed Bed Sheet </span><span>60 x 95 INCH</span>
</li>
<li>1 Standard Pillow 19 x 29 INCH</li>
</ul>
<p><strong>Thread Count:</strong><span> </span>T-180 t0 210</p>
<p><strong>Comforter Weight:<span> 150</span></strong> GSM With 100% Polyester Wadding</p>
</section>
</div>
<ul></ul>
</div>
<ul></ul>","3 Pieces Single Cartoon Reversible Bed Spread Set - Zoo Garden"
"807","1525","<p><span data-spm-anchor-id=""a2g0o.detail.1000023.i10.3132591fTsnihC"">Type:Bathroom Kit</span></p>
<p><span>Material: Ceramics</span></p>
<p><span>Quantity: 4 PCs</span></p>
<p><span>Package Size: </span></p>
<ul>
<li>Soap Dispenser:<span> </span><span>2.8 X 2.8 X 8""</span>
</li>
<li>Tumbler: 2.8 X 2.8 X 4.3""</li>
<li>Soap Dish: <span>5.5 X 4.3 X 0.6""</span>
</li>
<li>Brush Holder: <span>4.3 X 2.8</span>
</li>
</ul>
<p><span>Weight: 1300 Grams</span></p>","4 PCs Ceramic Bathroom Set - BS0001"
"808","1525","<p><span data-spm-anchor-id=""a2g0o.detail.1000023.i10.3132591fTsnihC"">Type:Bathroom Kit</span></p>
<p><span>Material: Ceramics</span></p>
<p><span>Quantity: 4 PCs</span></p>
<p><span>Package Size: </span></p>
<ul>
<li>Soap Dispenser:<span> </span><span>2.8 X 2.8 X 8""</span>
</li>
<li>Tumbler: 2.8 X 2.8 X 4.3""</li>
<li>Soap Dish: <span>5.5 X 4.3 X 0.6""</span>
</li>
<li>Brush Holder: <span>4.3 X 2.8</span>
</li>
</ul>
<p><span>Weight: 1300 Grams</span></p>","4 PCs Ceramic Bathroom Set - BS0006"
